Manual Score,Manual Hospital Address,address_py,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance *100,BWTRLENCD Distance,Monge Elkan Distance *10
0.65,"Scooter India Chauraha, Bijnaur Road, Gauri, Sarojini Nagar, Lucknow, Uttar Pradesh","Bajrang Hospital, Kanpur Road, Sarojni Nagar, Sarojani Nagar, Lucknow, Uttar Pradesh, 226401, India",0.494949495,0.744443389,0.685185185,0.816347517,0.005878937,0.2,0.05878937
0.7,"Opposite Chalantapara H S School, Bongaigaon, Assam","PHC, Chalantapara, NH17, Boitamari, Bongaigaon, Assam, 783388, India",0.455882353,0.642659628,0.4875,0.662254721,0.008842753,0.049180328,0.08842753
0.55,"16-1-13, KGH Beach Down, Manaranipeta, Opposite Costal Battery, Vizag, Vishakhapatnam, Andhra Pradesh","Mustafa Colony, Arilova, Visakhapatnam, Visakhapatnam (Urban), Visakhapatnam, Andhra Pradesh, 530001, India",0.308411215,0.663391835,0.58778626,0.740692845,0.004264288,0.204301075,0.04264288
0.6,"Perumalpuram Post Office Thikkoti, Kozhikode, Kerala","Government Vocational Higher Secondary School Payyoli, Kannur-Calicut-Valanchery Highway, Payyoli, Koyilandi, Kozhikode district, Kerala, 673529, India",0.251655629,0.536377144,0.27672956,0.49654948,0.008690828,0.078014184,0.08690828
0.75,"Chainpur, Palamau, Jharkhand","Bhargawān, Chainpur, Palamu, Jharkhand, 822101, India",0.490566038,0.699910153,0.528301887,0.726843784,0.017857143,0.229166667,0.17857143
0.65,"Behind CHC Hospital Geedam, Dantewada, Chhattisgarh","NH63, Gidam, Gidam Tahsil, Dantewada, Chhattisgarh, 494441, India",0.430769231,0.697742462,0.546666667,0.712101811,0.00922722,0.05,0.0922722
0.5,"Near Navanaka, Opposite Swaminarayan Temple, Kachchh, Gujarat","અંધૌ, Bhuj Taluka, Kutch District, Gujarat, 370510, India",0.163934426,0.549497891,0.388235294,0.559643668,0.005912389,0.118644068,0.05912389
0.1,"MO Bari Tilak Nagar Bhinga Bhavan No 3200KHA1, Shrawasti, Uttar Pradesh","Ganesh Nagar 20 block Road, Widow Colony, Rajouri Garden Tehsil, West Delhi, 110018, India",0.188888889,0.567492232,0.412280702,0.587959523,0.005752827,0.058823529,0.05752827
0.75,"Sultanpur, Uttar Pradesh","Kadipur, Sultanpur, Uttar Pradesh, India",0.6,0.727777778,0.6,0.774596669,0.020833333,0.175,0.20833333
0.8,"Ramadass Nursing Home, jothi Nagar, Salem, Tamil Nadu","Ramadas Nursing Home, Trichy - Salem Road, Gugai, Salem, Salem District, Tamil Nadu, 636006, India",0.459183673,0.834720062,0.51,0.707651128,0.009255963,0.141176471,0.09255963
0.5,"Opposite Pandya Street Lal Tower Road, Narmada, Gujarat","Rajpipla, Nandod Taluka, Narmada District, Gujarat, 393145, India",0.215384615,0.622552448,0.518987342,0.685718448,0.007438017,0.081967213,0.07438017
0.55,"Quarsi, Ramghat Road, Aligarh, Uttar Pradesh","Aligarh, Koil, Aligarh District, Uttar Pradesh, 202001, India",0.360655738,0.653659994,0.544117647,0.714184579,0.010072314,0.169491525,0.10072314
0.65,"Ayodhyapuri Main Road, Savsar Plot-2, Morbi, Gujarat","Aayush Multispeciality Hospital, SH22, Morbi, Morbi Taluka, Morbi District, Gujarat, 363641, India",0.306122449,0.626707948,0.45631068,0.658389882,0.00887574,0.08045977,0.0887574
