Manual Score,Manual Hospital Address,address_py,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance,BWTRLENCD Distance,Monge Elkan Distance*10
0.6,"Near Hotel Sagar New Kalimati Road Sakchi Jamshedpur, East Singhbhum, Jharkhand","Jamshedpur, Golmuri-Cum-Jugsalai, Purbi Singhbhum, Jharkhand, 831001, India",0.202531646,0.608202302,0.495145631,0.662561199,0.005447845,0.040540541,0.05447845
0,"KD 21 City Centre Sector IV B S City, Bokaro, Jharkhand","Advocate Christ Medical Center, 4400, West 95th Street, Oak Lawn, Worth Township, Cook County, Illinois, 60453, United States",0.24,0.565818182,0.343283582,0.554780874,0.007768595,0.01754386,0.07768595
0.2,"Ambala Chandigarh Road Zirakpur Punjab, S A S Nagar, Punjab","Sitapur Road, Jankipuram, Bakshi Ka Talab, Lucknow, Uttar Pradesh, 226024, India",0.225,0.615902969,0.494623656,0.669555886,0.007181844,0.083333333,0.07181844
0.65,"Cuddalore, Tamil Nadu","Cuddalore - Chittoor Road, Friends Nagar, Semmandalam, Cuddalore, Cuddalore District, Tamil Nadu, 607001, India",0.189189189,0.644187044,0.189189189,0.434958836,0.023809524,0.117021277,0.23809524
0.3,"440 Chaitanyapuri Colony Jhunsi Kohna, Allahabad, Uttar Pradesh","Kamla Hospital, NH19, Jhusi, Phulpur, Prayagraj, Uttar Pradesh, 211019, India",0.311688312,0.638172616,0.538461538,0.703526471,0.00718065,0.041666667,0.0718065
0.65,"South West Patel Field, Kashipur, Ward No 12, Samastipur, Bihar","city secondary field, SH50, Samastipur, Bihar, 848101, India",0.253968254,0.631700865,0.5,0.66686505,0.007054674,0.15,0.07054674
0.45,"No 8 And 9, Annai Velankanni Nagar, Madhavaram Milk Colony Road, Chennai - 51, Tiruvallur, Tamil Nadu","Uthukkottai, Thiruvallur District, Tamil Nadu, 601103, India",0.188118812,0.533413726,0.376068376,0.565218495,0.004166258,0.065934066,0.04166258
0.45,"Thanapur Semri Gate Highyway Sahson, Allahabad, Uttar Pradesh","NH30, Shantipuram, Phaphamau, Soraon, Prayagraj, Uttar Pradesh, 211013, India",0.350649351,0.671476179,0.550561798,0.714966676,0.007256114,-0.014285714,0.07256114
0.1,"Bhai Bir Singh Gurudwara Road, Sangrur, Punjab","Kasya, Kushinagar, Uttar Pradesh, 274400, India",0.212765957,0.565110653,0.409090909,0.580678731,0.008506616,0.043478261,0.08506616
0.8,"Kuju Nursing Home Datma More Kuju Near Obc Bank MH 33, Ramgarh, Jharkhand","Kuju, Mandu, Ramgarh, Jharkhand, 825316, India",0.260273973,0.570491268,0.416666667,0.603987149,0.005348095,0.132352941,0.05348095
0.65,"Road Jagadhri, Yamuna Nagar, Haryana","Kapil Hospital, Yamunanagar, Yamunanagar Bypass, Yamunanagar, Jagadhri, Yamunanagar, Haryana, 135003, India",0.289719626,0.571235722,0.311926606,0.547817344,0.013117284,0.106666667,0.13117284
0.6,"City Center, Site No 01, Near Hotel Central Park, Gwalior, Madhya Pradesh","Jeevan Jyoti Netralaya Super Speciality Eye Hospital, Madhav Rao Scindia Marg, Gwalior, Madhya Pradesh, 474011, India",0.367521368,0.647052592,0.52,0.703329763,0.00647401,0.104761905,0.0647401
0.75,"110, T M Duraisamy Street, Dharmapuri, Tamil Nadu","Dharmapuri, Dharmapuri District, Tamil Nadu, 636700, India",0.224137931,0.660384224,0.597014925,0.750322473,0.008746356,0.228070175,0.08746356
